# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	minMag(U)
46.8          	9.908884e-03
46.85         	1.207269e-02
46.9          	1.465681e-02
46.95         	1.755832e-02
47            	2.086692e-02
47.05         	2.401056e-02
47.1          	2.372332e-02
47.15         	2.398471e-02
47.2          	2.734923e-02
47.25         	3.310493e-02
47.3          	3.560000e-02
47.35         	3.398403e-02
47.4          	3.193747e-02
47.45         	2.989258e-02
47.5          	2.771802e-02
47.55         	2.553750e-02
47.6          	2.242991e-02
47.65         	1.988971e-02
47.7          	1.784255e-02
47.75         	1.587688e-02
47.8          	1.373414e-02
47.85         	1.138909e-02
47.9          	8.967636e-03
47.95         	6.535370e-03
48            	4.029455e-03
48.05         	1.386074e-03
48.1          	2.276864e-03
48.15         	5.702881e-03
48.2          	9.921836e-03
48.25         	1.483869e-02
48.3          	2.012009e-02
48.35         	2.526638e-02
48.4          	2.646518e-02
48.45         	2.401962e-02
48.5          	2.184279e-02
48.55         	2.025382e-02
48.6          	1.227093e-02
48.65         	1.942302e-02
48.7          	1.552909e-02
48.75         	2.589420e-02
48.8          	1.769106e-02
48.85         	2.418622e-02
48.9          	3.806932e-02
48.95         	2.510559e-02
49            	1.415155e-02
49.05         	1.657782e-02
49.1          	2.768318e-02
49.15         	2.246396e-02
49.2          	1.561760e-02
49.25         	1.318834e-02
49.3          	1.245151e-02
49.35         	1.216430e-02
49.4          	1.241497e-02
49.45         	1.309262e-02
49.5          	1.392959e-02
49.55         	1.539711e-02
49.6          	1.504883e-02
49.65         	1.816367e-02
49.7          	1.731256e-02
49.75         	1.678836e-02
49.8          	1.652220e-02
49.85         	1.643088e-02
49.9          	1.628749e-02
49.95         	1.600533e-02
50            	1.511357e-02
50.05         	1.384065e-02
50.1          	1.251056e-02
50.15         	1.117783e-02
50.2          	9.921772e-03
50.25         	8.630109e-03
50.3          	7.157276e-03
50.35         	5.783275e-03
50.4          	4.803183e-03
50.45         	3.698305e-03
50.5          	9.826602e-04
50.55         	1.818431e-03
50.6          	4.647756e-03
50.65         	7.472983e-03
50.7          	1.032623e-02
50.75         	1.162444e-02
50.8          	1.297285e-02
50.85         	1.420901e-02
50.9          	1.532594e-02
50.95         	1.655499e-02
51            	1.699746e-02
51.05         	1.238109e-02
51.1          	1.019476e-02
51.15         	1.315301e-02
51.2          	8.957690e-03
51.25         	3.054776e-03
51.3          	3.270892e-03
51.35         	1.006315e-02
51.4          	1.750100e-02
51.45         	1.195625e-02
51.5          	2.572383e-02
51.55         	2.627455e-02
51.6          	9.210686e-03
51.65         	1.635122e-02
51.7          	2.749124e-02
51.75         	2.211406e-02
51.8          	1.123398e-02
51.85         	1.019220e-02
51.9          	2.245739e-02
51.95         	2.520986e-02
52            	2.441869e-02
52.05         	2.375878e-02
52.1          	2.316747e-02
52.15         	2.329667e-02
52.2          	2.349249e-02
52.25         	1.616725e-02
52.3          	8.430005e-03
52.35         	4.518805e-04
52.4          	1.794095e-02
52.45         	1.545540e-02
52.5          	1.305785e-02
52.55         	1.088967e-02
52.6          	9.027674e-03
52.65         	7.938426e-03
52.7          	8.004596e-03
52.75         	9.204723e-03
52.8          	1.115832e-02
52.85         	1.366839e-02
52.9          	1.649429e-02
52.95         	1.959675e-02
53            	2.276586e-02
53.05         	2.219116e-02
53.1          	2.442718e-02
53.15         	2.931523e-02
