# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
38.85         	2.838992e+00
38.9          	2.878343e+00
38.95         	2.904631e+00
39            	2.918935e+00
39.05         	2.922377e+00
39.1          	2.916904e+00
39.15         	2.904855e+00
39.2          	2.888614e+00
39.25         	2.869842e+00
39.3          	2.850375e+00
39.35         	2.831505e+00
39.4          	2.814155e+00
39.45         	2.820602e+00
39.5          	2.838768e+00
39.55         	2.856183e+00
39.6          	2.872663e+00
39.65         	2.887901e+00
39.7          	2.901075e+00
39.75         	2.912283e+00
39.8          	2.921102e+00
39.85         	2.927570e+00
39.9          	2.931596e+00
39.95         	2.932665e+00
40            	2.930983e+00
40.05         	2.926541e+00
40.1          	2.919430e+00
40.15         	2.909706e+00
40.2          	2.897574e+00
40.25         	2.882862e+00
40.3          	2.865736e+00
40.35         	2.846386e+00
40.4          	2.824715e+00
40.45         	2.801330e+00
40.5          	2.777225e+00
40.55         	2.762801e+00
40.6          	2.770285e+00
40.65         	2.777446e+00
40.7          	2.784408e+00
40.75         	2.791110e+00
40.8          	2.797528e+00
40.85         	2.803546e+00
40.9          	2.809061e+00
40.95         	2.814027e+00
41            	2.818353e+00
41.05         	2.821913e+00
41.1          	2.824920e+00
41.15         	2.827346e+00
41.2          	2.829097e+00
41.25         	2.830092e+00
41.3          	2.830329e+00
41.35         	2.830232e+00
41.4          	2.829767e+00
41.45         	2.828947e+00
41.5          	2.827651e+00
41.55         	2.825766e+00
41.6          	2.822822e+00
41.65         	2.819145e+00
41.7          	2.815118e+00
41.75         	2.814673e+00
41.8          	2.814356e+00
41.85         	2.813468e+00
41.9          	2.812040e+00
41.95         	2.810097e+00
42            	2.807687e+00
42.05         	2.804880e+00
42.1          	2.801538e+00
42.15         	2.797592e+00
42.2          	2.792944e+00
42.25         	2.787599e+00
42.3          	2.781571e+00
42.35         	2.774849e+00
42.4          	2.767979e+00
42.45         	2.760861e+00
42.5          	2.753274e+00
42.55         	2.745271e+00
42.6          	2.747362e+00
42.65         	2.752512e+00
42.7          	2.757650e+00
42.75         	2.762672e+00
42.8          	2.767483e+00
42.85         	2.771956e+00
42.9          	2.776411e+00
42.95         	2.781083e+00
43            	2.786073e+00
43.05         	2.791415e+00
43.1          	2.797095e+00
43.15         	2.803188e+00
43.2          	2.809612e+00
43.25         	2.816190e+00
43.3          	2.823082e+00
43.35         	2.829845e+00
43.4          	2.836216e+00
43.45         	2.841959e+00
43.5          	2.846747e+00
43.55         	2.850536e+00
43.6          	2.853143e+00
43.65         	2.854508e+00
43.7          	2.854743e+00
43.75         	2.854089e+00
43.8          	2.852901e+00
43.85         	2.851631e+00
43.9          	2.850560e+00
43.95         	2.856901e+00
44            	2.920943e+00
44.05         	2.934744e+00
44.1          	2.902932e+00
44.15         	2.935924e+00
44.2          	3.015027e+00
44.25         	3.031869e+00
44.3          	2.991402e+00
44.35         	2.904400e+00
44.4          	2.858057e+00
44.45         	2.856026e+00
44.5          	2.852444e+00
44.55         	2.847203e+00
44.6          	2.840288e+00
44.65         	2.831777e+00
