# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	min(p)
35.1          	-2.022627e+00
35.15         	-1.991232e+00
35.2          	-2.017622e+00
35.25         	-1.974833e+00
35.3          	-1.950537e+00
35.35         	-1.954062e+00
35.4          	-1.929018e+00
35.45         	-1.917972e+00
35.5          	-1.899631e+00
35.55         	-1.860567e+00
35.6          	-1.925392e+00
35.65         	-1.903731e+00
35.7          	-1.877886e+00
35.75         	-1.867946e+00
35.8          	-1.847849e+00
35.85         	-1.819737e+00
35.9          	-1.796430e+00
35.95         	-1.761838e+00
36            	-1.719066e+00
36.05         	-1.689681e+00
36.1          	-1.650383e+00
36.15         	-1.614281e+00
36.2          	-1.583776e+00
36.25         	-1.560776e+00
36.3          	-1.588720e+00
36.35         	-1.683288e+00
36.4          	-1.648778e+00
36.45         	-1.656676e+00
36.5          	-1.652432e+00
36.55         	-1.659810e+00
36.6          	-1.657967e+00
36.65         	-1.666743e+00
36.7          	-1.650028e+00
36.75         	-1.663292e+00
36.8          	-1.669662e+00
36.85         	-1.694519e+00
36.9          	-1.664504e+00
36.95         	-1.670979e+00
37            	-1.675375e+00
37.05         	-1.675318e+00
37.1          	-1.681166e+00
37.15         	-1.680602e+00
37.2          	-1.701745e+00
37.25         	-1.695406e+00
37.3          	-1.685494e+00
37.35         	-1.683351e+00
37.4          	-1.663833e+00
37.45         	-1.628109e+00
37.5          	-1.626627e+00
37.55         	-1.623855e+00
37.6          	-1.622969e+00
37.65         	-1.586722e+00
37.7          	-1.578281e+00
37.75         	-1.579743e+00
37.8          	-1.583815e+00
37.85         	-1.612919e+00
37.9          	-1.714306e+00
37.95         	-1.889005e+00
38            	-1.856830e+00
38.05         	-1.708237e+00
38.1          	-1.746483e+00
38.15         	-1.793774e+00
38.2          	-1.828307e+00
38.25         	-1.868304e+00
38.3          	-1.855837e+00
38.35         	-1.886087e+00
38.4          	-1.866570e+00
38.45         	-1.756183e+00
38.5          	-1.842363e+00
38.55         	-1.883250e+00
38.6          	-1.889053e+00
38.65         	-1.868493e+00
38.7          	-1.822565e+00
38.75         	-1.764994e+00
38.8          	-1.682286e+00
38.85         	-1.605086e+00
38.9          	-1.642098e+00
38.95         	-1.698042e+00
39            	-1.680734e+00
39.05         	-1.706093e+00
39.1          	-1.738975e+00
39.15         	-1.727643e+00
39.2          	-1.760534e+00
39.25         	-1.789524e+00
39.3          	-1.804346e+00
39.35         	-1.821450e+00
39.4          	-1.833139e+00
39.45         	-1.840482e+00
39.5          	-1.873761e+00
39.55         	-1.868535e+00
39.6          	-1.857835e+00
39.65         	-1.861631e+00
39.7          	-1.855263e+00
39.75         	-1.844186e+00
39.8          	-1.863061e+00
39.85         	-1.836733e+00
39.9          	-1.837179e+00
39.95         	-1.852586e+00
40            	-1.852435e+00
40.05         	-1.851263e+00
40.1          	-1.854734e+00
40.15         	-1.843407e+00
40.2          	-1.872263e+00
40.25         	-1.891248e+00
40.3          	-1.915958e+00
40.35         	-1.892038e+00
40.4          	-1.886357e+00
40.45         	-1.904257e+00
40.5          	-1.880750e+00
40.55         	-1.901818e+00
40.6          	-1.919090e+00
40.65         	-1.925625e+00
40.7          	-1.977069e+00
40.75         	-1.970728e+00
40.8          	-2.015583e+00
40.85         	-1.998767e+00
40.9          	-2.004574e+00
40.95         	-2.007312e+00
41            	-2.014877e+00
41.05         	-2.020277e+00
41.1          	-1.989757e+00
41.15         	-1.960592e+00
41.2          	-2.007816e+00
41.25         	-1.951866e+00
41.3          	-1.917446e+00
41.35         	-1.954299e+00
41.4          	-1.917091e+00
41.45         	-1.900306e+00
41.5          	-1.880608e+00
41.55         	-1.850704e+00
41.6          	-1.899135e+00
41.65         	-1.871416e+00
41.7          	-1.845956e+00
41.75         	-1.838827e+00
41.8          	-1.815383e+00
41.85         	-1.802144e+00
41.9          	-1.766600e+00
41.95         	-1.732015e+00
42            	-1.691774e+00
42.05         	-1.654852e+00
42.1          	-1.618039e+00
42.15         	-1.585708e+00
42.2          	-1.556722e+00
42.25         	-1.527712e+00
42.3          	-1.565875e+00
42.35         	-1.674086e+00
42.4          	-1.607261e+00
42.45         	-1.602227e+00
42.5          	-1.616594e+00
42.55         	-1.610509e+00
42.6          	-1.601265e+00
42.65         	-1.743508e+00
42.7          	-1.637484e+00
42.75         	-1.626476e+00
42.8          	-1.636840e+00
42.85         	-1.626285e+00
42.9          	-1.633712e+00
42.95         	-1.653693e+00
43            	-1.647064e+00
43.05         	-1.659314e+00
43.1          	-1.667134e+00
43.15         	-1.674650e+00
43.2          	-1.737121e+00
43.25         	-1.648426e+00
43.3          	-1.657293e+00
43.35         	-1.651778e+00
43.4          	-1.644776e+00
43.45         	-1.622929e+00
43.5          	-1.601544e+00
43.55         	-1.607933e+00
43.6          	-1.583168e+00
43.65         	-1.570694e+00
43.7          	-1.572251e+00
43.75         	-1.574930e+00
43.8          	-1.578436e+00
43.85         	-1.618049e+00
43.9          	-1.694841e+00
43.95         	-1.941959e+00
44            	-1.824045e+00
44.05         	-1.722315e+00
44.1          	-1.767835e+00
44.15         	-1.812071e+00
44.2          	-1.844625e+00
44.25         	-1.856571e+00
44.3          	-1.884727e+00
44.35         	-1.869303e+00
44.4          	-1.803056e+00
44.45         	-1.837512e+00
44.5          	-1.867285e+00
44.55         	-1.877428e+00
44.6          	-1.855753e+00
44.65         	-1.817591e+00
44.7          	-1.733378e+00
44.75         	-1.656909e+00
44.8          	-1.622168e+00
44.85         	-1.672104e+00
44.9          	-1.679312e+00
44.95         	-1.702681e+00
45            	-1.734603e+00
45.05         	-1.833200e+00
45.1          	-1.761941e+00
45.15         	-1.798222e+00
45.2          	-1.799876e+00
45.25         	-1.819572e+00
45.3          	-1.840718e+00
45.35         	-1.869329e+00
45.4          	-1.876402e+00
45.45         	-1.892569e+00
45.5          	-1.904424e+00
45.55         	-1.881327e+00
45.6          	-1.863460e+00
45.65         	-1.876965e+00
45.7          	-1.876528e+00
45.75         	-1.878949e+00
45.8          	-1.861226e+00
45.85         	-1.855815e+00
45.9          	-1.880172e+00
45.95         	-1.866807e+00
46            	-1.867888e+00
46.05         	-1.876959e+00
46.1          	-1.862539e+00
46.15         	-1.901965e+00
46.2          	-1.926051e+00
46.25         	-1.935237e+00
46.3          	-1.936335e+00
46.35         	-1.909562e+00
46.4          	-1.911878e+00
46.45         	-1.890855e+00
46.5          	-1.913164e+00
46.55         	-1.929686e+00
46.6          	-1.944813e+00
46.65         	-1.946858e+00
46.7          	-1.979471e+00
46.75         	-1.995447e+00
46.8          	-2.003953e+00
46.85         	-2.021958e+00
46.9          	-2.022540e+00
46.95         	-2.027132e+00
47            	-1.978568e+00
47.05         	-2.022675e+00
47.1          	-1.994240e+00
47.15         	-2.021620e+00
47.2          	-1.971864e+00
47.25         	-1.957566e+00
47.3          	-1.985673e+00
47.35         	-1.938551e+00
47.4          	-1.928735e+00
47.45         	-1.893505e+00
47.5          	-1.883038e+00
47.55         	-1.940092e+00
47.6          	-1.907853e+00
47.65         	-1.884970e+00
47.7          	-1.854927e+00
47.75         	-1.852078e+00
47.8          	-1.825691e+00
47.85         	-1.801612e+00
47.9          	-1.765580e+00
47.95         	-1.738572e+00
48            	-1.695045e+00
48.05         	-1.657204e+00
48.1          	-1.620321e+00
48.15         	-1.588736e+00
48.2          	-1.562137e+00
48.25         	-1.567778e+00
48.3          	-1.616232e+00
48.35         	-1.627111e+00
48.4          	-1.655841e+00
48.45         	-1.642320e+00
48.5          	-1.651352e+00
48.55         	-1.656474e+00
48.6          	-1.646823e+00
48.65         	-1.633713e+00
48.7          	-1.654389e+00
48.75         	-1.659829e+00
48.8          	-1.676568e+00
48.85         	-1.656212e+00
48.9          	-1.661813e+00
48.95         	-1.674636e+00
49            	-1.669517e+00
49.05         	-1.676958e+00
49.1          	-1.686395e+00
49.15         	-1.692891e+00
49.2          	-1.706253e+00
49.25         	-1.682497e+00
49.3          	-1.679210e+00
49.35         	-1.671285e+00
49.4          	-1.629328e+00
